Tanggal,Temperatur minimum (°C),Temperatur maksimum (°C),Temperatur rata-rata (°C),Kelembapan rata-rata (%),Curah hujan (mm),Lamanya penyinaran matahari (jam),Kecepatan angin maksimum (m/s),Arah angin saat kecepatan maksimum (°),Kecepatan angin rata-rata (m/s),is_calm,wind_sin,wind_cos
2023-08-23,26.2,32.6,29.0,68.0,0.0,4.5,5.0,320.0,2.0,1,0.0,0.0
2023-08-24,26.0,33.6,29.2,70.0,0.0,5.5,3.0,130.0,1.0,1,0.0,0.0
2023-08-25,26.0,33.0,28.8,74.0,0.0,7.2,5.0,320.0,1.0,1,0.0,0.0
2023-08-26,27.0,32.2,29.1,74.0,0.0,7.4,5.0,70.0,1.0,1,0.0,0.0
2023-08-27,27.4,32.2,29.0,76.0,0.0,4.5,2.0,30.0,1.0,1,0.0,0.0
2023-08-28,25.6,33.6,28.7,71.0,1.8,5.0,3.0,330.0,1.0,1,0.0,0.0
2023-08-29,25.0,33.2,28.7,71.0,13.4,5.0,0.0,0.0,0.0,1,0.0,0.0
2023-08-30,26.0,32.2,28.5,72.0,0.0,7.5,5.0,80.0,2.0,1,0.0,0.0
2023-08-31,25.2,32.2,28.2,73.0,0.0,7.5,5.0,330.0,1.0,1,0.0,0.0
2023-09-01,25.4,32.6,28.0,72.0,1.1,7.0,4.0,300.0,1.0,1,0.0,0.0
2023-09-02,25.0,31.6,28.5,71.0,0.7,7.4,5.0,310.0,1.0,1,0.0,0.0
2023-09-03,26.6,32.6,28.9,68.0,0.6,4.7,4.0,190.0,1.0,1,0.0,0.0
2023-09-04,24.2,33.4,28.3,62.0,0.0,5.5,5.0,120.0,1.0,1,0.0,0.0
2023-09-05,24.6,33.6,28.4,63.0,10.3,7.5,3.0,210.0,0.0,1,0.0,0.0
2023-09-06,25.2,33.4,28.7,65.0,0.0,8.0,3.0,90.0,0.0,1,0.0,0.0
2023-09-07,26.0,32.6,28.7,70.0,0.0,9.2,6.0,320.0,1.0,1,0.0,0.0
2023-09-08,26.6,33.2,29.0,74.0,0.0,9.3,3.0,300.0,1.0,1,0.0,0.0
2023-09-09,26.6,33.0,29.3,72.0,0.1,8.0,8.0,330.0,1.0,1,0.0,0.0
2023-09-10,26.2,31.8,28.4,66.0,0.0,8.0,4.0,310.0,1.0,1,0.0,0.0
2023-09-11,26.6,33.0,29.1,66.0,0.0,6.7,5.0,320.0,1.0,1,0.0,0.0
